"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"tcell30p_scored_target",45,0.01,94,132,105,132
"tcell3p_scored_target",45,0.01,51,132,57,132
"drep_tcell100p_scored_target",46,0.01,109,132,125,132
"tcell0pt3p_scored_target",46,0.01,38,132,0,132
"tcell10p_scored_target",46,0.01,66,132,76,132
"tcell1p_scored_target",46,0.01,0,132,0,132
"tcell30p_scored_target",46,0.01,94,132,102,132
"tcell3p_scored_target",46,0.01,0,132,0,132
"drep_tcell100p_scored_target",47,0.01,109,132,125,132
"tcell0pt3p_scored_target",47,0.01,0,132,0,132
"tcell10p_scored_target",47,0.01,66,132,75,132
"tcell1p_scored_target",47,0.01,0,132,0,132
"tcell30p_scored_target",47,0.01,94,132,104,132
"tcell3p_scored_target",47,0.01,39,132,54,132
"drep_tcell100p_scored_target",48,0.01,109,132,126,132
"tcell0pt3p_scored_target",48,0.01,0,132,0,132
"tcell10p_scored_target",48,0.01,66,132,76,132
"tcell1p_scored_target",48,0.01,0,132,0,132
"tcell30p_scored_target",48,0.01,94,132,102,132
"tcell3p_scored_target",48,0.01,0,132,57,132
"drep_tcell100p_scored_target",49,0.01,109,132,126,132
"tcell0pt3p_scored_target",49,0.01,26,132,0,132
"tcell10p_scored_target",49,0.01,66,132,78,132
"tcell1p_scored_target",49,0.01,0,132,0,132
"tcell30p_scored_target",49,0.01,94,132,106,132
"tcell3p_scored_target",49,0.01,38,132,55,132
"drep_tcell100p_scored_target",50,0.01,109,132,126,132
"tcell0pt3p_scored_target",50,0.01,25,132,0,132
"tcell10p_scored_target",50,0.01,66,132,72,132
"tcell1p_scored_target",50,0.01,0,132,0,132
"tcell30p_scored_target",50,0.01,94,132,104,132
"tcell3p_scored_target",50,0.01,39,132,52,132
"drep_tcell100p_scored_target",51,0.01,109,132,125,132
"tcell0pt3p_scored_target",51,0.01,0,132,0,132
"tcell10p_scored_target",51,0.01,66,132,78,132
"tcell1p_scored_target",51,0.01,13,132,0,132
"tcell30p_scored_target",51,0.01,94,132,104,132
"tcell3p_scored_target",51,0.01,51,132,54,132
"drep_tcell100p_scored_target",52,0.01,109,132,125,132
"tcell0pt3p_scored_target",52,0.01,26,132,0,132
"tcell10p_scored_target",52,0.01,66,132,75,132
"tcell1p_scored_target",52,0.01,0,132,0,132
"tcell30p_scored_target",52,0.01,94,132,103,132
"tcell3p_scored_target",52,0.01,38,132,55,132
"drep_tcell100p_scored_target",53,0.01,109,132,125,132
"tcell0pt3p_scored_target",53,0.01,0,132,0,132
"tcell10p_scored_target",53,0.01,66,132,78,132
"tcell1p_scored_target",53,0.01,0,132,0,132
"tcell30p_scored_target",53,0.01,94,132,106,132
"tcell3p_scored_target",53,0.01,39,132,0,132
"drep_tcell100p_scored_target",54,0.01,109,132,125,132
"tcell0pt3p_scored_target",54,0.01,25,132,0,132
"tcell10p_scored_target",54,0.01,66,132,77,132
"tcell1p_scored_target",54,0.01,0,132,0,132
"tcell30p_scored_target",54,0.01,94,132,102,132
"tcell3p_scored_target",54,0.01,0,132,55,132
"drep_tcell100p_scored_target",55,0.01,109,132,125,132
"tcell0pt3p_scored_target",55,0.01,25,132,0,132
"tcell10p_scored_target",55,0.01,66,132,78,132
"tcell1p_scored_target",55,0.01,0,132,0,132
"tcell30p_scored_target",55,0.01,94,132,102,132
"tcell3p_scored_target",55,0.01,39,132,55,132
"drep_tcell100p_scored_target",56,0.01,109,132,126,132
"tcell0pt3p_scored_target",56,0.01,25,132,0,132
"tcell10p_scored_target",56,0.01,66,132,77,132
"tcell1p_scored_target",56,0.01,0,132,0,132
"tcell30p_scored_target",56,0.01,94,132,103,132
"tcell3p_scored_target",56,0.01,39,132,54,132
"drep_tcell100p_scored_target",57,0.01,109,132,125,132
"tcell0pt3p_scored_target",57,0.01,25,132,0,132
"tcell10p_scored_target",57,0.01,66,132,73,132
"tcell1p_scored_target",57,0.01,0,132,0,132
"tcell30p_scored_target",57,0.01,94,132,105,132
"tcell3p_scored_target",57,0.01,52,132,60,132
"drep_tcell100p_scored_target",58,0.01,109,132,125,132
