"seed","basename","file","threshold","pep_total","pep_pass","q_total","q_pass"
52,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed52_label0_pep_ipspline.txt",0.05,132,113,132,127
53,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed53_label0_pep_ipspline.txt",0.01,132,109,132,125
53,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed53_label0_pep_ipspline.txt",0.05,132,113,132,127
54,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed54_label0_pep_ipspline.txt",0.01,132,109,132,125
54,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed54_label0_pep_ipspline.txt",0.05,132,113,132,127
55,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed55_label0_pep_ipspline.txt",0.01,132,109,132,125
55,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed55_label0_pep_ipspline.txt",0.05,132,112,132,127
56,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed56_label0_pep_ipspline.txt",0.01,132,109,132,126
56,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed56_label0_pep_ipspline.txt",0.05,132,113,132,127
57,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed57_label0_pep_ipspline.txt",0.01,132,109,132,125
57,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed57_label0_pep_ipspline.txt",0.05,132,113,132,127
58,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed58_label0_pep_ipspline.txt",0.01,132,109,132,125
58,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed58_label0_pep_ipspline.txt",0.05,132,113,132,127
59,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed59_label0_pep_ipspline.txt",0.01,132,109,132,126
59,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed59_label0_pep_ipspline.txt",0.05,132,114,132,127
60,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed60_label0_pep_ipspline.txt",0.01,132,109,132,126
60,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed60_label0_pep_ipspline.txt",0.05,132,113,132,126
61,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed61_label0_pep_ipspline.txt",0.01,132,109,132,126
61,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed61_label0_pep_ipspline.txt",0.05,132,113,132,127
62,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed62_label0_pep_ipspline.txt",0.01,132,109,132,125
62,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed62_label0_pep_ipspline.txt",0.05,132,112,132,127
63,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed63_label0_pep_ipspline.txt",0.01,132,109,132,125
63,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed63_label0_pep_ipspline.txt",0.05,132,113,132,127
64,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed64_label0_pep_ipspline.txt",0.01,132,109,132,125
64,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed64_label0_pep_ipspline.txt",0.05,132,113,132,127
65,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed65_label0_pep_ipspline.txt",0.01,132,109,132,126
65,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed65_label0_pep_ipspline.txt",0.05,132,114,132,127
