"seed","file","fdr_col","threshold","target_pass","target_total","decoy_pass","decoy_total"
66,"drep_tcell100p_scored_target_seed66_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
67,"drep_tcell100p_scored_target_seed67_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
67,"drep_tcell100p_scored_target_seed67_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
68,"drep_tcell100p_scored_target_seed68_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
68,"drep_tcell100p_scored_target_seed68_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
69,"drep_tcell100p_scored_target_seed69_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
69,"drep_tcell100p_scored_target_seed69_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
70,"drep_tcell100p_scored_target_seed70_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
70,"drep_tcell100p_scored_target_seed70_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
71,"drep_tcell100p_scored_target_seed71_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
71,"drep_tcell100p_scored_target_seed71_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
72,"drep_tcell100p_scored_target_seed72_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
72,"drep_tcell100p_scored_target_seed72_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
73,"drep_tcell100p_scored_target_seed73_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
73,"drep_tcell100p_scored_target_seed73_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
74,"drep_tcell100p_scored_target_seed74_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
74,"drep_tcell100p_scored_target_seed74_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
75,"drep_tcell100p_scored_target_seed75_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
75,"drep_tcell100p_scored_target_seed75_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
76,"drep_tcell100p_scored_target_seed76_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
76,"drep_tcell100p_scored_target_seed76_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
77,"drep_tcell100p_scored_target_seed77_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
77,"drep_tcell100p_scored_target_seed77_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
78,"drep_tcell100p_scored_target_seed78_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
78,"drep_tcell100p_scored_target_seed78_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
79,"drep_tcell100p_scored_target_seed79_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
79,"drep_tcell100p_scored_target_seed79_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
80,"drep_tcell100p_scored_target_seed80_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
80,"drep_tcell100p_scored_target_seed80_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
81,"drep_tcell100p_scored_target_seed81_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
81,"drep_tcell100p_scored_target_seed81_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
82,"drep_tcell100p_scored_target_seed82_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
82,"drep_tcell100p_scored_target_seed82_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
83,"drep_tcell100p_scored_target_seed83_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
